GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courseManagement,com.courseMangement.courseManagement,CourseManagementApplication,5,3,0,0,2,1,1,1,1,1
courseManagement,com.courseMangement.courseManagement.config,EmailConfig,0,21,0,0,0,7,0,2,0,2
courseManagement,com.courseMangement.courseManagement.config,SwaggerConfig,0,37,0,0,0,9,0,3,0,3
courseManagement,com.courseMangement.courseManagement.service,CourseService,128,70,5,1,34,17,9,7,6,7
courseManagement,com.courseMangement.courseManagement.controller,CourseController,65,16,4,0,16,3,7,3,5,3
courseManagement,com.courseMangement.courseManagement.models,Course,47,59,0,0,1,25,1,17,1,17
courseManagement,com.courseMangement.courseManagement.models,MailStrructure,17,0,0,0,7,0,5,0,5,0
courseManagement,com.courseMangement.courseManagement.util,Mapper,3,77,0,0,1,20,1,2,1,2
courseManagement,com.courseMangement.courseManagement.entities,CourseEntity,0,59,0,0,0,25,0,17,0,17
courseManagement,com.courseMangement.courseManagement.entities,Creator,0,17,0,0,0,7,0,5,0,5
courseManagement,com.courseMangement.courseManagement.entities,Skill,0,17,0,0,0,7,0,5,0,5
